,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration
81,GRAB,Grab Holdings Limited,3.1100,+0.1600,+5.42%,14.718M,23.679M,11.915B,N/A
82,FIVN,"Five9, Inc.",116.07,+5.97,+5.42%,1.691M,1.279M,8.074B,N/A
83,LCID,"Lucid Group, Inc.",19.06,+0.98,+5.42%,19.02M,24.93M,31.736B,N/A
84,CERE,"Cerevel Therapeutics Holdings, Inc.",30.86,+1.58,+5.40%,"376,562","415,346",4.576B,N/A
85,TTD,"The Trade Desk, Inc.",62.08,+3.16,+5.36%,4.417M,6.094M,30.172B,221.71
86,SPCE,"Virgin Galactic Holdings, Inc.",7.89,+0.40,+5.34%,8.601M,18.237M,2.04B,N/A
87,FB,"Meta Platforms, Inc.",211.13,+10.66,+5.32%,49.456M,40.949M,571.385B,15.33
88,NVDA,NVIDIA Corporation,195.33,+9.86,+5.32%,57.056M,53.897M,486.762B,50.74
89,SYNA,Synaptics Incorporated,156.33,+7.89,+5.32%,"520,324","554,236",6.179B,44.35
90,WRBY,Warby Parker Inc.,24.52,+1.23,+5.28%,1.512M,1.735M,2.818B,N/A
91,NTLA,"Intellia Therapeutics, Inc.",51.61,+2.58,+5.26%,1.178M,1.111M,3.854B,N/A
92,CBRL,"Cracker Barrel Old Country Store, Inc.",116.83,+5.84,+5.26%,"414,718","379,973",2.713B,19.61
93,OMCL,"Omnicell, Inc.",114.90,+5.73,+5.25%,"565,077","492,293",5.075B,70.93
94,ZM,"Zoom Video Communications, Inc.",104.79,+5.22,+5.24%,3.161M,4.739M,31.345B,23.31
95,BNTX,BioNTech SE,146.04,+7.26,+5.23%,1.149M,1.606M,36.044B,4.96
96,GBOOY,"Grupo Financiero Banorte, S.A.B. de C.V.",34.51,+1.72,+5.23%,"756,871","66,216",19.966B,11.62
97,ABCL,AbCellera Biologics Inc.,8.07,+0.40,+5.22%,1.297M,1.741M,2.296B,16.81
98,INSP,"Inspire Medical Systems, Inc.",216.48,+10.72,+5.21%,"361,080","253,936",5.964B,N/A
99,STAA,STAAR Surgical Company,60.02,+2.93,+5.13%,"681,169","500,273",2.866B,120.04
