,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration
51,W,Wayfair Inc.,76.94,-6.45,-7.73%,4.398M,2.457M,8.071B,N/A
52,STAG,"STAG Industrial, Inc.",37.32,-3.11,-7.69%,2.347M,1.017M,6.702B,32.45
53,SNOW,Snowflake Inc.,171.44,-14.27,-7.68%,6.542M,5.94M,53.935B,N/A
54,TEO,Telecom Argentina S.A.,5.47,-0.45,-7.60%,"199,673","139,408",2.356B,31.26
55,BTU,Peabody Energy Corporation,22.64,-1.86,-7.59%,11.639M,11.256M,3.13B,7.04
56,BTEGF,Baytex Energy Corp.,5.13,-0.42,-7.57%,"960,851","673,024",2.92B,2.33
57,WFRD,Weatherford International plc,32.28,-2.61,-7.48%,"857,022","528,483",2.276B,N/A
58,EVCM,EverCommerce Inc.,12.38,-1.00,-7.47%,"126,114","290,645",2.42B,N/A
59,GDDY,GoDaddy Inc.,80.81,-6.52,-7.47%,2.754M,1.746M,13.121B,56.95
60,BYND,"Beyond Meat, Inc.",36.88,-2.94,-7.38%,1.783M,3.266M,2.343B,N/A
61,PLD,"Prologis, Inc.",160.29,-12.72,-7.35%,9.996M,2.902M,118.657B,40.65
62,ASND,Ascendis Pharma A/S,91.27,-7.23,-7.34%,"693,883","438,537",5.197B,N/A
63,CRCT,"Cricut, Inc.",11.62,-0.92,-7.34%,"212,712","337,259",2.579B,18.16
64,RYAN,"Ryan Specialty Group Holdings, Inc.",36.99,-2.88,-7.22%,"653,983","474,401",4.079B,N/A
65,ASX,"ASE Technology Holding Co., Ltd.",6.44,-0.50,-7.20%,7.573M,6.304M,13.785B,6.57
66,CHTR,"Charter Communications, Inc.",428.49,-33.00,-7.15%,4.82M,1.619M,82.053B,17.51
67,PWSC,"PowerSchool Holdings, Inc.",15.14,-1.16,-7.12%,"331,029","442,909",3.004B,N/A
68,CLF,Cleveland-Cliffs Inc.,25.49,-1.95,-7.11%,22.7M,22.908M,13.376B,4.76
69,IHS,IHS Holding Limited,10.50,-0.80,-7.08%,"85,577","134,069",3.442B,N/A
70,SI,Silvergate Capital Corporation,116.96,-8.90,-7.07%,"541,894","823,259",3.699B,40.19
71,IONS,"Ionis Pharmaceuticals, Inc.",36.76,-2.79,-7.05%,1.716M,1.11M,5.211B,N/A
72,DNA,"Ginkgo Bioworks Holdings, Inc.",2.9000,-0.2200,-7.05%,17.45M,17.852M,5.147B,N/A
73,RVLV,"Revolve Group, Inc.",42.26,-3.18,-7.00%,1.172M,1.111M,3.096B,31.54
74,INTC,Intel Corporation,43.59,-3.25,-6.94%,67.95M,35.866M,178.226B,8.97
75,TMUS,"T-Mobile US, Inc.",123.14,-9.15,-6.92%,7.166M,5.296M,153.838B,51.10
76,COLM,Columbia Sportswear Company,82.16,-6.10,-6.91%,1.186M,"421,100",5.172B,15.41
77,PSA,Public Storage,371.50,-27.47,-6.89%,1.374M,"713,762",65.145B,37.64
78,CABO,"Cable One, Inc.","1,166.20",-86.19,-6.88%,"84,860","36,312",7.011B,25.08
79,WOOF,"Petco Health and Wellness Company, Inc.",19.26,-1.42,-6.87%,1.861M,1.7M,5.836B,31.06
80,ASAN,"Asana, Inc.",26.80,-1.97,-6.85%,2.691M,5.13M,5.069B,N/A
81,DASH,"DoorDash, Inc.",81.43,-5.96,-6.82%,2.953M,5.801M,28.371B,N/A
82,EBKDY,Erste Group Bank AG,15.36,-1.12,-6.81%,"84,479","100,467",12.459B,6.99
83,ALNY,"Alnylam Pharmaceuticals, Inc.",133.43,-9.73,-6.80%,1.416M,"828,780",16.107B,N/A
84,LSI,"Life Storage, Inc.",132.49,-9.57,-6.74%,"857,465","491,625",11.201B,41.79
85,ATUS,"Altice USA, Inc.",9.28,-0.67,-6.73%,9.159M,4.703M,4.219B,4.34
86,ARES,Ares Management Corporation,66.22,-4.78,-6.73%,"950,417","872,083",19.419B,30.84
87,IOT,Samsara Inc.,12.34,-0.89,-6.73%,1.393M,1.476M,6.278B,N/A
88,CELH,"Celsius Holdings, Inc.",52.00,-3.74,-6.71%,"642,799","873,190",3.872B,"1,040.00"
89,TKC,Turkcell Iletisim Hizmetleri A.S.,3.4900,-0.2500,-6.68%,"568,527","476,829",3.092B,4.68
90,GTLB,GitLab Inc.,47.93,-3.41,-6.64%,"645,244",1.519M,7.074B,N/A
91,VOD,Vodafone Group Public Limited Company,15.19,-1.08,-6.64%,10.364M,6.05M,43.565B,N/A
92,WIX,Wix.com Ltd.,75.46,-5.36,-6.63%,"881,933",1.215M,4.336B,N/A
93,DISH,DISH Network Corporation,28.51,-2.01,-6.59%,3.6M,2.48M,15.082B,7.52
94,BILL,"Bill.com Holdings, Inc.",170.71,-11.99,-6.56%,1.871M,2.099M,17.683B,N/A
95,FISV,"Fiserv, Inc.",97.92,-6.82,-6.51%,4.687M,3.625M,63.527B,49.21
96,HCP,"HashiCorp, Inc.",47.08,-3.27,-6.49%,"844,684",1.105M,8.638B,N/A
97,MELI,"MercadoLibre, Inc.",973.63,-66.37,-6.38%,"526,898","605,783",49.05B,583.01
98,RAMP,"LiveRamp Holdings, Inc.",31.32,-2.13,-6.37%,"504,401","464,369",2.135B,N/A
99,FTNT,"Fortinet, Inc.",289.01,-19.64,-6.36%,1.144M,1.285M,46.477B,79.62
